start year,start month,end year,end month,from,Hard Broadcast News,Left Wing Cable,No or Minimal News,Other Cable,Right Wing Cable,Soft Broadcast News,Spanish News
2016,1,2020,2,Right Wing Cable,,,4893544.140,,,,77792.706
2016,1,2020,2,Soft Broadcast News,8540066.151,378635.801,12798108.629,771536.566,764118.356,,
2016,1,2020,2,Spanish News,242836.551,170205.990,6796300.352,22055.346,,328330.536,
2016,1,2020,3,Hard Broadcast News,,9315873.720,13033850.394,,3442344.569,,
2016,1,2020,3,Left Wing Cable,,,4070066.897,,1812554.815,,
2016,1,2020,3,Other Cable,1642731.814,1184507.448,9718981.506,,851262.230,,
2016,1,2020,3,Right Wing Cable,,,3498245.010,,,,38305.539
2016,1,2020,3,Soft Broadcast News,10660355.995,1317370.709,12129787.326,659313.540,1085720.885,,
2016,1,2020,3,Spanish News,268284.589,223589.088,5528865.255,462.722,,253846.136,
2016,1,2020,4,Hard Broadcast News,,9011304.657,17908254.337,,3659956.149,,
2016,1,2020,4,Left Wing Cable,,,5941053.028,,2065042.813,,
2016,1,2020,4,Other Cable,948738.989,921739.465,10902366.008,,747963.238,,
2016,1,2020,4,Right Wing Cable,,,4791375.828,,,,46458.657
2016,1,2020,4,Soft Broadcast News,8527798.001,1112571.595,13045567.840,665769.490,1079064.244,,
2016,1,2020,4,Spanish News,153050.255,225017.373,6564695.784,31203.771,,243724.276,
2016,1,2020,5,Hard Broadcast News,,9025304.368,20538060.146,,3187069.432,,
2016,1,2020,5,Left Wing Cable,,,6225897.639,,1905122.517,,
2016,1,2020,5,Other Cable,1040020.379,930520.695,11698456.761,,633497.133,,
2016,1,2020,5,Right Wing Cable,,,5730659.019,,,,36288.953
2016,1,2020,5,Soft Broadcast News,8352514.778,1018673.558,13654554.303,842983.862,802898.106,,
2016,1,2020,5,Spanish News,160192.592,228859.856,7538390.410,75544.322,,271763.718,
2016,1,2020,6,Hard Broadcast News,,9051777.886,22165500.521,,3362200.016,,
2016,1,2020,6,Left Wing Cable,,,6532887.592,,2120102.781,,
2016,1,2020,6,Other Cable,681533.219,774220.049,12013002.011,,557174.947,,
2016,1,2020,6,Right Wing Cable,,,6220673.826,,,,40399.537
2016,1,2020,6,Soft Broadcast News,9034477.732,1168081.669,14412622.073,984883.203,1076894.583,,
2016,1,2020,6,Spanish News,280515.530,230176.735,7925630.428,84119.901,,293823.479,
2016,1,2020,7,Hard Broadcast News,,8688532.114,24217605.786,,3154960.234,,
2016,1,2020,7,Left Wing Cable,,,8105186.832,,2207620.954,,
2016,1,2020,7,Other Cable,82382.000,471974.641,12369672.011,,369396.162,,
2016,1,2020,7,Right Wing Cable,,,7197766.572,,,,34177.134
2016,1,2020,7,Soft Broadcast News,9071640.489,928461.299,14758978.648,1010545.617,1052416.549,,
2016,1,2020,7,Spanish News,177767.859,218046.112,8328372.031,15276.741,,282742.554,
2016,1,2020,8,Hard Broadcast News,,9295322.888,23610445.109,230708.065,3684094.395,,
2016,1,2020,8,Left Wing Cable,,,7239980.509,,2120947.503,,
2016,1,2020,8,Other Cable,,527746.189,12773721.495,,647826.710,,
2016,1,2020,8,Right Wing Cable,,,6391502.508,,,,48337.715
2016,1,2020,8,Soft Broadcast News,9550395.747,1199424.590,15039543.519,1060151.971,1267279.484,,
2016,1,2020,8,Spanish News,112558.698,201129.208,8501074.676,81676.644,,241848.264,
2016,1,2020,9,Hard Broadcast News,,8131127.301,19918386.919,,3320248.182,,
2016,1,2020,9,Left Wing Cable,,,7432564.565,,2308434.596,,
