period,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct,left_size,right_size
Last 6 months,GA,tv,lenient,50,0.0682,0.0954,635730.5614,889445.5592
Last 6 months,GA,tv,stringent,50,0.0367,0.0954,342376.0307,889445.5592
Last 6 months,HI,tv,lenient,50,0.1154,0.0600,115031.2902,59876.2680
Last 6 months,HI,tv,stringent,50,0.0713,0.0600,70864.7032,59876.2680
Last 6 months,IA,tv,lenient,50,0.0568,0.0848,144100.6345,214854.9434
Last 6 months,IA,tv,stringent,50,0.0349,0.0848,88381.0203,214854.9434
Last 6 months,ID,tv,lenient,50,0.0250,0.1068,32981.9905,140152.7019
Last 6 months,ID,tv,stringent,50,0.0221,0.1068,29048.6895,140152.7019
Last 6 months,IL,tv,lenient,50,0.0635,0.0706,694605.8439,772181.7002
Last 6 months,IL,tv,stringent,50,0.0372,0.0706,406515.3700,772181.7002
Last 6 months,IN,tv,lenient,50,0.0470,0.0889,278111.9443,525239.9877
Last 6 months,IN,tv,stringent,50,0.0254,0.0889,149895.3188,525239.9877
Last 6 months,KS,tv,lenient,50,0.0435,0.0925,116427.0503,247305.7434
Last 6 months,KS,tv,stringent,50,0.0241,0.0925,64477.9357,247305.7434
Last 6 months,KY,tv,lenient,50,0.0389,0.0899,142910.4534,330538.1204
Last 6 months,KY,tv,stringent,50,0.0212,0.0899,77911.0402,330538.1204
Last 6 months,LA,tv,lenient,50,0.0476,0.0709,185846.4840,276931.5171
Last 6 months,LA,tv,stringent,50,0.0326,0.0709,127340.1567,276931.5171
Last 6 months,MA,tv,lenient,50,0.0933,0.0467,539685.4765,270151.4511
Last 6 months,MA,tv,stringent,50,0.0467,0.0467,270128.3102,270151.4511
Last 6 months,MD,tv,lenient,50,0.1147,0.0634,612016.8929,338424.3733
Last 6 months,MD,tv,stringent,50,0.0638,0.0634,339899.5588,338424.3733
Last 6 months,ME,tv,lenient,50,0.1459,0.0477,154001.0260,50000.9795
Last 6 months,ME,tv,stringent,50,0.0583,0.0477,61501.6327,50000.9795
Last 6 months,MI,tv,lenient,50,0.0744,0.0890,626478.5504,749160.3788
Last 6 months,MI,tv,stringent,50,0.0392,0.0890,329411.3177,749160.3788
Last 6 months,MN,tv,lenient,50,0.0488,0.0685,227097.6186,318386.4494
