year,month,variable,archetype,value
2018,2,sizes,Partisan Cable (right),22506566.42853
2018,3,sizes,Partisan Cable (right),21915389.12897
2018,4,sizes,Partisan Cable (right),22597209.13341
2018,5,sizes,Partisan Cable (right),21961949.93546
2018,6,sizes,Partisan Cable (right),22855865.46668
2018,7,sizes,Partisan Cable (right),21965521.06452
2018,8,sizes,Partisan Cable (right),21218823.83872
2018,9,sizes,Partisan Cable (right),23196434.79999
2018,10,sizes,Partisan Cable (right),24099141.58062
2018,11,sizes,Partisan Cable (right),24228704.36664
2018,12,sizes,Partisan Cable (right),21281781.96774
2019,1,sizes,Partisan Cable (right),22251883.12903
2019,2,sizes,Partisan Cable (right),22495785.92857
2019,3,sizes,Partisan Cable (right),21777553.87097
2019,4,sizes,Partisan Cable (right),21613454.30000
2019,5,sizes,Partisan Cable (right),20848659.32258
2019,6,sizes,Partisan Cable (right),20690175.86667
2019,7,sizes,Partisan Cable (right),22023567.29032
2019,8,sizes,Partisan Cable (right),21830747.64516
2019,9,sizes,Partisan Cable (right),21579079.60000
2019,10,sizes,Partisan Cable (right),22090317.25806
2019,11,sizes,Partisan Cable (right),22260283.70000
2019,12,sizes,Partisan Cable (right),22780532.25806
2020,1,sizes,Partisan Cable (right),25215740.45161
2020,2,sizes,Partisan Cable (right),24922344.31034
2020,3,sizes,Partisan Cable (right),29040367.16129
2020,4,sizes,Partisan Cable (right),28352772.36667
2020,5,sizes,Partisan Cable (right),26160972.74194
2020,6,sizes,Partisan Cable (right),26366954.86667
2020,7,sizes,Partisan Cable (right),25153819.06452
2020,8,sizes,Partisan Cable (right),27044005.45161
2020,9,sizes,Partisan Cable (right),27889456.10000
2020,10,sizes,Partisan Cable (right),29596322.41935
2020,11,sizes,Partisan Cable (right),34256921.10000
2020,12,sizes,Partisan Cable (right),23568009.96774
2021,1,sizes,Partisan Cable (right),26493474.32258
2021,2,sizes,Partisan Cable (right),22770486.96429
2021,3,sizes,Partisan Cable (right),21701593.70968
2021,4,sizes,Partisan Cable (right),21968421.60000
2021,5,sizes,Partisan Cable (right),21453952.87097
2021,6,sizes,Partisan Cable (right),21299898.70000
2021,7,sizes,Partisan Cable (right),20586427.83871
2021,8,sizes,Partisan Cable (right),24050934.51613
2021,9,sizes,Partisan Cable (right),23527053.40000
2021,10,sizes,Partisan Cable (right),22827151.22581
2021,11,sizes,Partisan Cable (right),24679862.86667
2021,12,sizes,Partisan Cable (right),22909564.41935
2022,1,sizes,Partisan Cable (right),22935839.16129
2022,2,sizes,Partisan Cable (right),26192093.67857
2022,3,sizes,Partisan Cable (right),27482104.19355
2022,4,sizes,Partisan Cable (right),24731652.60000
2022,5,sizes,Partisan Cable (right),24022400.35484
2022,6,sizes,Partisan Cable (right),23902462.30000
2022,7,sizes,Partisan Cable (right),23227651.12903
2022,8,sizes,Partisan Cable (right),23554642.90323
2022,9,sizes,Partisan Cable (right),22973382.20000
2022,10,sizes,Partisan Cable (right),22872701.48387
2022,11,sizes,Partisan Cable (right),25874023.33333
2022,12,sizes,Partisan Cable (right),22147524.64516
2023,1,sizes,Partisan Cable (right),21904268.48387
2023,2,sizes,Partisan Cable (right),22031619.00000
2023,3,sizes,Partisan Cable (right),21814412.16129
2023,4,sizes,Partisan Cable (right),22073296.80000
2023,5,sizes,Partisan Cable (right),20211554.70968
2023,6,sizes,Partisan Cable (right),20056811.60000
2023,7,sizes,Partisan Cable (right),19912507.45161
2023,8,sizes,Partisan Cable (right),22034021.67742
2023,9,sizes,Partisan Cable (right),20726120.66667
2023,10,sizes,Partisan Cable (right),22639603.54839
2023,11,sizes,Partisan Cable (right),20718911.43333
2023,12,sizes,Partisan Cable (right),18514339.61290
2024,1,sizes,Partisan Cable (right),19675703.80645
2024,2,sizes,Partisan Cable (right),19406280.24138
2024,3,sizes,Partisan Cable (right),19658338.22581
2024,4,sizes,Partisan Cable (right),19213232.40000
2024,5,sizes,Partisan Cable (right),19474593.87097
2024,6,sizes,Partisan Cable (right),20652238.20000
2024,7,sizes,Partisan Cable (right),25638375.90323
2024,8,sizes,Partisan Cable (right),22016530.38710
2024,9,sizes,Partisan Cable (right),22336635.43333
2024,10,sizes,Partisan Cable (right),23357866.29032
2024,11,sizes,Partisan Cable (right),28496674.83333
2024,12,sizes,Partisan Cable (right),21648076.74194
2025,1,sizes,Partisan Cable (right),26161076.54839
2025,2,sizes,Partisan Cable (right),24057443.17857
2025,3,sizes,Partisan Cable (right),23739122.90323
2025,4,sizes,Partisan Cable (right),21871536.96667
2025,5,sizes,Partisan Cable (right),20925049.29032
2025,6,sizes,Partisan Cable (right),23731676.90000
2025,7,sizes,Partisan Cable (right),21454481.45161
2025,8,sizes,Partisan Cable (right),20165709.03226
2025,9,sizes,Partisan Cable (right),23492833.83333
2016,1,sizes,Partisan Cable (left),18907218.93543
2016,2,sizes,Partisan Cable (left),22525612.32147
2016,3,sizes,Partisan Cable (left),27045466.96771
2016,4,sizes,Partisan Cable (left),22452985.19999
2016,5,sizes,Partisan Cable (left),20462749.03225
2016,6,sizes,Partisan Cable (left),23156261.30000
2016,7,sizes,Partisan Cable (left),30702026.58071
2016,8,sizes,Partisan Cable (left),21576937.41934
2016,9,sizes,Partisan Cable (left),24916878.00003
2016,10,sizes,Partisan Cable (left),27870125.38716
2016,11,sizes,Partisan Cable (left),33733905.43330
2016,12,sizes,Partisan Cable (left),19959995.32261
2017,1,sizes,Partisan Cable (left),25971692.51615
2017,2,sizes,Partisan Cable (left),24842372.07141
2017,3,sizes,Partisan Cable (left),24512517.35484
2017,4,sizes,Partisan Cable (left),25283543.43337
2017,5,sizes,Partisan Cable (left),25843672.12905
2017,6,sizes,Partisan Cable (left),25124708.09995
2017,7,sizes,Partisan Cable (left),24982820.48382
2017,8,sizes,Partisan Cable (left),28483496.93548
2017,9,sizes,Partisan Cable (left),30694846.40003
2017,10,sizes,Partisan Cable (left),26295054.40002
2017,11,sizes,Partisan Cable (left),24123428.93335
2017,12,sizes,Partisan Cable (left),25165902.03227
2018,1,sizes,Partisan Cable (left),23575108.80647
2018,2,sizes,Partisan Cable (left),22776892.89282
2018,3,sizes,Partisan Cable (left),23150102.29030
2018,4,sizes,Partisan Cable (left),23249931.50000
2018,5,sizes,Partisan Cable (left),22844043.58062
2018,6,sizes,Partisan Cable (left),21658956.23339
2018,7,sizes,Partisan Cable (left),22149972.12904
2018,8,sizes,Partisan Cable (left),23261526.58069
2018,9,sizes,Partisan Cable (left),25170151.86665
2018,10,sizes,Partisan Cable (left),23113647.54842
2018,11,sizes,Partisan Cable (left),26329829.86666
2018,12,sizes,Partisan Cable (left),24450042.70966
2019,1,sizes,Partisan Cable (left),25145007.93548
2019,2,sizes,Partisan Cable (left),23450183.64286
2019,3,sizes,Partisan Cable (left),21740317.87097
2019,4,sizes,Partisan Cable (left),21055926.43333
2019,5,sizes,Partisan Cable (left),20249216.51613
2019,6,sizes,Partisan Cable (left),20771936.33333
2019,7,sizes,Partisan Cable (left),23770555.09677
2019,8,sizes,Partisan Cable (left),21667587.38710
2019,9,sizes,Partisan Cable (left),22511971.40000
2019,10,sizes,Partisan Cable (left),24473305.61290
2019,11,sizes,Partisan Cable (left),23890226.46667
2019,12,sizes,Partisan Cable (left),23436895.41935
2020,1,sizes,Partisan Cable (left),26111402.32258
2020,2,sizes,Partisan Cable (left),22868179.13793
2020,3,sizes,Partisan Cable (left),32557144.61290
