year,month,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct
2016,2,AZ,tv,stringent,75,0.000,0.000
2016,2,AZ,web,lenient,50,0.031,0.032
2016,2,AZ,web,lenient,75,0.018,0.020
2016,2,AZ,web,stringent,50,0.009,0.013
2016,2,AZ,web,stringent,75,0.005,0.004
2016,2,CA,tv,lenient,50,0.000,0.000
2016,2,CA,tv,lenient,75,0.000,0.000
2016,2,CA,tv,stringent,50,0.000,0.000
2016,2,CA,tv,stringent,75,0.000,0.000
2016,2,CA,web,lenient,50,0.023,0.021
2016,2,CA,web,lenient,75,0.013,0.015
2016,2,CA,web,stringent,50,0.009,0.008
2016,2,CA,web,stringent,75,0.004,0.004
2016,2,CO,tv,lenient,50,0.000,0.000
2016,2,CO,tv,lenient,75,0.000,0.000
2016,2,CO,tv,stringent,50,0.000,0.000
2016,2,CO,tv,stringent,75,0.000,0.000
2016,2,CO,web,lenient,50,0.022,0.026
2016,2,CO,web,lenient,75,0.011,0.017
2016,2,CO,web,stringent,50,0.011,0.013
2016,2,CO,web,stringent,75,0.008,0.007
2016,2,CT,tv,lenient,50,0.000,0.000
2016,2,CT,tv,lenient,75,0.000,0.000
2016,2,CT,tv,stringent,50,0.000,0.000
2016,2,CT,tv,stringent,75,0.000,0.000
2016,2,CT,web,lenient,50,0.022,0.078
2016,2,CT,web,lenient,75,0.008,0.036
2016,2,CT,web,stringent,50,0.007,0.064
2016,2,CT,web,stringent,75,0.000,0.028
2016,2,DC,tv,lenient,50,0.000,0.000
2016,2,DC,tv,lenient,75,0.000,0.000
2016,2,DC,tv,stringent,50,0.000,0.000
2016,2,DC,tv,stringent,75,0.000,0.000
2016,2,DC,web,lenient,50,0.053,0.017
2016,2,DC,web,lenient,75,0.007,0.015
2016,2,DC,web,stringent,50,0.024,0.000
2016,2,DC,web,stringent,75,0.007,0.000
2016,2,DE,tv,lenient,50,0.000,0.000
2016,2,DE,tv,lenient,75,0.000,0.000
2016,2,DE,tv,stringent,50,0.000,0.000
2016,2,DE,tv,stringent,75,0.000,0.000
2016,2,DE,web,lenient,50,0.008,0.035
2016,2,DE,web,lenient,75,0.006,0.016
2016,2,DE,web,stringent,50,0.004,0.032
2016,2,DE,web,stringent,75,0.003,0.013
2016,2,FL,tv,lenient,50,0.000,0.000
2016,2,FL,tv,lenient,75,0.000,0.000
2016,2,FL,tv,stringent,50,0.000,0.000
2016,2,FL,tv,stringent,75,0.000,0.000
2016,2,FL,web,lenient,50,0.025,0.021
2016,2,FL,web,lenient,75,0.017,0.012
2016,2,FL,web,stringent,50,0.013,0.014
2016,2,FL,web,stringent,75,0.010,0.008
2016,2,GA,tv,lenient,50,0.000,0.000
2016,2,GA,tv,lenient,75,0.000,0.000
2016,2,GA,tv,stringent,50,0.000,0.000
2016,2,GA,tv,stringent,75,0.000,0.000
2016,2,GA,web,lenient,50,0.024,0.038
2016,2,GA,web,lenient,75,0.008,0.019
2016,2,GA,web,stringent,50,0.014,0.009
