year,month,medium,gender,age_group,ethnicity,political_lean,partisanship_scenario,diet_threshold,value
2017,3,tv,Female,55+,All,L,lenient,50,0.098
2017,4,tv,Male,18-24,All,L,lenient,50,0.066
2017,4,tv,Female,18-24,All,L,lenient,50,0.053
2017,4,tv,Male,25-34,All,L,lenient,50,0.088
2017,4,tv,Female,25-34,All,L,lenient,50,0.064
2017,4,tv,Male,35-44,All,L,lenient,50,0.094
2017,4,tv,Female,35-44,All,L,lenient,50,0.083
2017,4,tv,Male,45-54,All,L,lenient,50,0.104
2017,4,tv,Female,45-54,All,L,lenient,50,0.082
2017,4,tv,Male,55+,All,L,lenient,50,0.116
2017,4,tv,Female,55+,All,L,lenient,50,0.096
2017,5,tv,Male,18-24,All,L,lenient,50,0.074
2017,5,tv,Female,18-24,All,L,lenient,50,0.057
2017,5,tv,Male,25-34,All,L,lenient,50,0.084
2017,5,tv,Female,25-34,All,L,lenient,50,0.066
2017,5,tv,Male,35-44,All,L,lenient,50,0.093
2017,5,tv,Female,35-44,All,L,lenient,50,0.081
2017,5,tv,Male,45-54,All,L,lenient,50,0.109
2017,5,tv,Female,45-54,All,L,lenient,50,0.081
2017,5,tv,Male,55+,All,L,lenient,50,0.120
2017,5,tv,Female,55+,All,L,lenient,50,0.103
2017,6,tv,Male,18-24,All,L,lenient,50,0.061
2017,6,tv,Female,18-24,All,L,lenient,50,0.055
2017,6,tv,Male,25-34,All,L,lenient,50,0.073
2017,6,tv,Female,25-34,All,L,lenient,50,0.058
2017,6,tv,Male,35-44,All,L,lenient,50,0.090
2017,6,tv,Female,35-44,All,L,lenient,50,0.078
2017,6,tv,Male,45-54,All,L,lenient,50,0.105
2017,6,tv,Female,45-54,All,L,lenient,50,0.081
2017,6,tv,Male,55+,All,L,lenient,50,0.120
2017,6,tv,Female,55+,All,L,lenient,50,0.106
2017,7,tv,Male,18-24,All,L,lenient,50,0.060
2017,7,tv,Female,18-24,All,L,lenient,50,0.055
2017,7,tv,Male,25-34,All,L,lenient,50,0.080
2017,7,tv,Female,25-34,All,L,lenient,50,0.061
2017,7,tv,Male,35-44,All,L,lenient,50,0.089
2017,7,tv,Female,35-44,All,L,lenient,50,0.081
2017,7,tv,Male,45-54,All,L,lenient,50,0.111
2017,7,tv,Female,45-54,All,L,lenient,50,0.085
2017,7,tv,Male,55+,All,L,lenient,50,0.123
2017,7,tv,Female,55+,All,L,lenient,50,0.104
2017,8,tv,Male,18-24,All,L,lenient,50,0.071
2017,8,tv,Female,18-24,All,L,lenient,50,0.058
2017,8,tv,Male,25-34,All,L,lenient,50,0.089
2017,8,tv,Female,25-34,All,L,lenient,50,0.075
2017,8,tv,Male,35-44,All,L,lenient,50,0.098
2017,8,tv,Female,35-44,All,L,lenient,50,0.084
2017,8,tv,Male,45-54,All,L,lenient,50,0.111
2017,8,tv,Female,45-54,All,L,lenient,50,0.087
2017,8,tv,Male,55+,All,L,lenient,50,0.128
2017,8,tv,Female,55+,All,L,lenient,50,0.114
2017,9,tv,Male,18-24,All,L,lenient,50,0.074
2017,9,tv,Female,18-24,All,L,lenient,50,0.050
2017,9,tv,Male,25-34,All,L,lenient,50,0.082
2017,9,tv,Female,25-34,All,L,lenient,50,0.067
2017,9,tv,Male,35-44,All,L,lenient,50,0.106
2017,9,tv,Female,35-44,All,L,lenient,50,0.088
2017,9,tv,Male,45-54,All,L,lenient,50,0.111
2017,9,tv,Female,45-54,All,L,lenient,50,0.092
2017,9,tv,Male,55+,All,L,lenient,50,0.126
2017,9,tv,Female,55+,All,L,lenient,50,0.117
2017,11,tv,Male,18-24,All,L,lenient,50,0.060
2017,11,tv,Female,18-24,All,L,lenient,50,0.047
2017,11,tv,Male,25-34,All,L,lenient,50,0.064
2017,11,tv,Female,25-34,All,L,lenient,50,0.062
2017,11,tv,Male,35-44,All,L,lenient,50,0.087
2017,11,tv,Female,35-44,All,L,lenient,50,0.071
2017,11,tv,Male,45-54,All,L,lenient,50,0.096
2017,11,tv,Female,45-54,All,L,lenient,50,0.078
2017,11,tv,Male,55+,All,L,lenient,50,0.115
2017,11,tv,Female,55+,All,L,lenient,50,0.102
2017,12,tv,Male,18-24,All,L,lenient,50,0.065
2017,12,tv,Female,18-24,All,L,lenient,50,0.054
2017,12,tv,Male,25-34,All,L,lenient,50,0.080
2017,12,tv,Female,25-34,All,L,lenient,50,0.063
2017,12,tv,Male,35-44,All,L,lenient,50,0.095
2017,12,tv,Female,35-44,All,L,lenient,50,0.075
2017,12,tv,Male,45-54,All,L,lenient,50,0.101
2017,12,tv,Female,45-54,All,L,lenient,50,0.082
2017,12,tv,Male,55+,All,L,lenient,50,0.121
2017,12,tv,Female,55+,All,L,lenient,50,0.106
2018,1,tv,Male,18-24,All,L,lenient,50,0.067
2018,1,tv,Female,18-24,All,L,lenient,50,0.052
2018,1,tv,Male,25-34,All,L,lenient,50,0.067
2018,1,tv,Female,25-34,All,L,lenient,50,0.059
2018,1,tv,Male,35-44,All,L,lenient,50,0.085
2018,1,tv,Female,35-44,All,L,lenient,50,0.070
2018,1,tv,Male,45-54,All,L,lenient,50,0.092
2018,1,tv,Female,45-54,All,L,lenient,50,0.076
2018,1,tv,Male,55+,All,L,lenient,50,0.110
2018,1,tv,Female,55+,All,L,lenient,50,0.099
2018,2,tv,Male,18-24,All,L,lenient,50,0.057
2018,2,tv,Female,18-24,All,L,lenient,50,0.044
2018,2,tv,Male,25-34,All,L,lenient,50,0.057
2018,2,tv,Female,25-34,All,L,lenient,50,0.055
2018,2,tv,Male,35-44,All,L,lenient,50,0.082
2018,2,tv,Female,35-44,All,L,lenient,50,0.071
2018,2,tv,Male,45-54,All,L,lenient,50,0.093
2018,2,tv,Female,45-54,All,L,lenient,50,0.079
2018,2,tv,Male,55+,All,L,lenient,50,0.110
2018,2,tv,Female,55+,All,L,lenient,50,0.101
2018,3,tv,Male,18-24,All,L,lenient,50,0.050
2018,3,tv,Female,18-24,All,L,lenient,50,0.039
2018,3,tv,Male,25-34,All,L,lenient,50,0.058
2018,3,tv,Female,25-34,All,L,lenient,50,0.053
2018,3,tv,Male,35-44,All,L,lenient,50,0.076
2018,3,tv,Female,35-44,All,L,lenient,50,0.063
2018,3,tv,Male,45-54,All,L,lenient,50,0.088
2018,3,tv,Female,45-54,All,L,lenient,50,0.071
2018,3,tv,Male,55+,All,L,lenient,50,0.115
2018,3,tv,Female,55+,All,L,lenient,50,0.103
2018,4,tv,Male,18-24,All,L,lenient,50,0.047
2018,4,tv,Female,18-24,All,L,lenient,50,0.039
2018,4,tv,Male,25-34,All,L,lenient,50,0.054
2018,4,tv,Female,25-34,All,L,lenient,50,0.050
2018,4,tv,Male,35-44,All,L,lenient,50,0.081
2018,4,tv,Female,35-44,All,L,lenient,50,0.068
2018,4,tv,Male,45-54,All,L,lenient,50,0.100
2018,4,tv,Female,45-54,All,L,lenient,50,0.077
2018,4,tv,Male,55+,All,L,lenient,50,0.120
2018,4,tv,Female,55+,All,L,lenient,50,0.105
