archetype,delta,start year,start month,end year,end month
Other Cable,-1967685,2016,1,2022,3
No or Minimal News,62279788,2016,1,2022,4
Hard Broadcast News,-16612982,2016,1,2022,4
Soft Broadcast News,-25260389,2016,1,2022,4
Partisan Cable (right),2458775,2016,1,2022,4
Partisan Cable (left),-1490306,2016,1,2022,4
Spanish News,-5581624,2016,1,2022,4
Other Cable,-1883534,2016,1,2022,4
No or Minimal News,62029992,2016,1,2022,5
Hard Broadcast News,-16527520,2016,1,2022,5
Soft Broadcast News,-24792636,2016,1,2022,5
Partisan Cable (right),1749522,2016,1,2022,5
Partisan Cable (left),-1852294,2016,1,2022,5
Spanish News,-5192721,2016,1,2022,5
Other Cable,-1507130,2016,1,2022,5
No or Minimal News,63570625,2016,1,2022,6
Hard Broadcast News,-17179758,2016,1,2022,6
Soft Broadcast News,-26621087,2016,1,2022,6
Partisan Cable (right),1629584,2016,1,2022,6
Partisan Cable (left),421390,2016,1,2022,6
Spanish News,-5542172,2016,1,2022,6
Other Cable,-2347482,2016,1,2022,6
No or Minimal News,68340761,2016,1,2022,7
Hard Broadcast News,-19241114,2016,1,2022,7
Soft Broadcast News,-26656185,2016,1,2022,7
Partisan Cable (right),954773,2016,1,2022,7
Partisan Cable (left),-799181,2016,1,2022,7
Spanish News,-5788424,2016,1,2022,7
Other Cable,-2845136,2016,1,2022,7
No or Minimal News,68955912,2016,1,2022,8
Hard Broadcast News,-21257851,2016,1,2022,8
Soft Broadcast News,-25486141,2016,1,2022,8
Partisan Cable (right),1281765,2016,1,2022,8
Partisan Cable (left),-942530,2016,1,2022,8
Spanish News,-6105558,2016,1,2022,8
Other Cable,-2432536,2016,1,2022,8
No or Minimal News,62115004,2016,1,2022,9
Hard Broadcast News,-13394996,2016,1,2022,9
Soft Broadcast News,-26961921,2016,1,2022,9
Partisan Cable (right),700504,2016,1,2022,9
Partisan Cable (left),953342,2016,1,2022,9
Spanish News,-5403242,2016,1,2022,9
Other Cable,-3827971,2016,1,2022,9
No or Minimal News,66355462,2016,1,2022,10
Hard Broadcast News,-15489396,2016,1,2022,10
Soft Broadcast News,-25104173,2016,1,2022,10
Partisan Cable (right),599824,2016,1,2022,10
Partisan Cable (left),-1698449,2016,1,2022,10
Spanish News,-5900683,2016,1,2022,10
Other Cable,-3802734,2016,1,2022,10
No or Minimal News,59334538,2016,1,2022,11
Hard Broadcast News,-14045443,2016,1,2022,11
Soft Broadcast News,-24260954,2016,1,2022,11
Partisan Cable (right),3601145,2016,1,2022,11
Partisan Cable (left),626049,2016,1,2022,11
Spanish News,-5332600,2016,1,2022,11
Other Cable,-4857391,2016,1,2022,11
No or Minimal News,62956277,2016,1,2022,12
Hard Broadcast News,-14599596,2016,1,2022,12
Soft Broadcast News,-23559526,2016,1,2022,12
Partisan Cable (right),-125353,2016,1,2022,12
Partisan Cable (left),-467103,2016,1,2022,12
Spanish News,-5204034,2016,1,2022,12
Other Cable,-4027864,2016,1,2022,12
No or Minimal News,64628420,2016,1,2023,1
