state,program,network,period,value,medium
TN,FOX AND FRIENDS,FOXNC,last 12 months,80401,tv
GA,GMA NSNA,ABC Affiliates,last 12 months,80280,tv
MN,TODAY SHOW,NBC Affiliates,last 12 months,80229,tv
MI,20/20-FRI,ABC Affiliates,last 12 months,78993,tv
GA,60 MINUTES,CBS  Affiliates,last 12 months,78324,tv
KY,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,77882,tv
AZ,CNN NEWSROOM,CNN,last 12 months,77839,tv
LA,CBS EVENING NEWS,CBS  Affiliates,last 12 months,77535,tv
CO,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,77096,tv
GA,CBS EVENING NEWS,CBS  Affiliates,last 12 months,77051,tv
OR,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,76987,tv
LA,TODAY SHOW,NBC Affiliates,last 12 months,75876,tv
LA,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,75797,tv
OK,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,75739,tv
MS,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,75651,tv
SC,CBS EVENING NEWS,CBS  Affiliates,last 12 months,75265,tv
CT,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,75065,tv
OK,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,74924,tv
GA,TODAY SHOW,NBC Affiliates,last 12 months,74013,tv
WV,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,73629,tv
IA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,73439,tv
MS,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,72924,tv
MA,20/20-FRI,ABC Affiliates,last 12 months,72741,tv
MI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,72612,tv
MN,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,71890,tv
MO,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,71575,tv
KY,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,71008,tv
CT,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,70378,tv
KS,60 MINUTES,CBS  Affiliates,last 12 months,69490,tv
OK,CBS EVENING NEWS,CBS  Affiliates,last 12 months,68142,tv
AZ,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,67503,tv
NH,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,66037,tv
NM,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,65387,tv
LA,60 MINUTES,CBS  Affiliates,last 12 months,65295,tv
MA,CBS EVENING NEWS,CBS  Affiliates,last 12 months,65103,tv
IN,CBS EVENING NEWS,CBS  Affiliates,last 12 months,64148,tv
KY,CBS EVENING NEWS,CBS  Affiliates,last 12 months,63804,tv
ME,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,63610,tv
SC,60 MINUTES,CBS  Affiliates,last 12 months,63334,tv
CT,60 MINUTES,CBS  Affiliates,last 12 months,63314,tv
SC,"FIVE, THE",FOXNC,last 12 months,62833,tv
AR,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,62494,tv
WI,TODAY SHOW,NBC Affiliates,last 12 months,62161,tv
CT,TODAY SHOW,NBC Affiliates,last 12 months,62141,tv
AL,60 MINUTES,CBS  Affiliates,last 12 months,62123,tv
MA,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,61664,tv
AZ,60 MINUTES,CBS  Affiliates,last 12 months,61570,tv
AL,HANNITY,FOXNC,last 12 months,61195,tv
WV,TODAY SHOW,NBC Affiliates,last 12 months,60487,tv
NV,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,60305,tv
MO,CNN NEWSROOM,CNN,last 12 months,59879,tv
SC,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,59772,tv
LA,"FIVE, THE",FOXNC,last 12 months,59653,tv
WI,CBS EVENING NEWS,CBS  Affiliates,last 12 months,59629,tv
IA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,59494,tv
CO,TODAY SHOW,NBC Affiliates,last 12 months,59444,tv
AZ,TODAY SHOW,NBC Affiliates,last 12 months,59341,tv
AR,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,59313,tv
SC,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,59004,tv
OK,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,58767,tv
OK,60 MINUTES,CBS  Affiliates,last 12 months,58748,tv
SC,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,58543,tv
RI,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,58355,tv
LA,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,58184,tv
SC,SPECIAL RPT W/BRET BAIER,FOXNC,last 12 months,57820,tv
MN,CBS EVENING NEWS,CBS  Affiliates,last 12 months,57573,tv
ID,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,57284,tv
AL,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,57281,tv
CO,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,57175,tv
MO,CBS SATURDAY MORNING,CBS  Affiliates,last 12 months,56970,tv
WA,60 MINUTES,CBS  Affiliates,last 12 months,56771,tv
KS,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,56406,tv
MN,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,56203,tv
KY,CBS SATURDAY MORNING,CBS  Affiliates,last 12 months,56123,tv
WA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,56088,tv
MO,"FIVE, THE",FOXNC,last 12 months,55961,tv
OK,TODAY SHOW,NBC Affiliates,last 12 months,55883,tv
AL,CBS EVENING NEWS,CBS  Affiliates,last 12 months,55601,tv
KY,60 MINUTES,CBS  Affiliates,last 12 months,55354,tv
LA,AMERICAS NEWSROOM,FOXNC,last 12 months,55105,tv
MD,CBS EVENING NEWS,CBS  Affiliates,last 12 months,54803,tv
NV,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,54729,tv
IN,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,54161,tv
RI,TODAY SHOW,NBC Affiliates,last 12 months,53965,tv
WI,20/20-FRI,ABC Affiliates,last 12 months,53680,tv
AL,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,53513,tv
AR,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,53329,tv
MS,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,53265,tv
MN,20/20-FRI,ABC Affiliates,last 12 months,52831,tv
AL,AMERICAS NEWSROOM,FOXNC,last 12 months,52475,tv
MD,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,52471,tv
KS,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,52405,tv
IN,20/20-FRI,ABC Affiliates,last 12 months,52213,tv
WI,DATELINE: SECRETS UNCOVRD,OXYG,last 12 months,51031,tv
NV,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,50887,tv
MD,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,50819,tv
AR,60 MINUTES,CBS  Affiliates,last 12 months,50712,tv
WA,CNN NEWSROOM,CNN,last 12 months,49554,tv
WI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,49321,tv
MS,TODAY HODA & JENNA,NBC Affiliates,last 12 months,49059,tv
IN,CBS SATURDAY MORNING,CBS  Affiliates,last 12 months,48780,tv
WA,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,48346,tv
KY,AMERICA REPORTS,FOXNC,last 12 months,48163,tv
KY,DATELINE: SECRETS UNCOVRD,OXYG,last 12 months,47463,tv
NV,CNN NEWSROOM,CNN,last 12 months,47451,tv
AZ,HANNITY,FOXNC,last 12 months,47094,tv
CT,CNN NEWSROOM,CNN,last 12 months,47053,tv
IN,CNN NEWSROOM,CNN,last 12 months,47030,tv
AZ,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,46194,tv
CO,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,45844,tv
WA,HANNITY,FOXNC,last 12 months,45806,tv
WA,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,45650,tv
MD,DATELINE: SECRETS UNCOVRD,OXYG,last 12 months,45208,tv
CO,CNN NEWSROOM,CNN,last 12 months,44290,tv
ME,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,44149,tv
OK,HANNITY,FOXNC,last 12 months,43947,tv
WA,DATELINE: SECRETS UNCOVRD,OXYG,last 12 months,43768,tv
MN,SUNDAY MORNING,CBS  Affiliates,last 12 months,43544,tv
ME,TODAY SHOW,NBC Affiliates,last 12 months,43466,tv
MD,LAST WORD W/ L. ODONNELL,MSNBC,last 12 months,43298,tv
AZ,"INGRAHAM ANGLE, THE",FOXNC,last 12 months,43162,tv
NM,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,42962,tv
NH,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,42675,tv
AZ,TODAY THIRD HOUR,NBC Affiliates,last 12 months,42517,tv
SD,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,42219,tv
OK,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,42058,tv
OR,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,42029,tv
NM,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,42001,tv
IA,TODAY THIRD HOUR,NBC Affiliates,last 12 months,41784,tv
OR,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,41722,tv
CT,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,41643,tv
WA,CBS EVENING NEWS,CBS  Affiliates,last 12 months,41628,tv
CO,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,41514,tv
IA,CNN NEWSROOM,CNN,last 12 months,41262,tv
IA,60 MINUTES,CBS  Affiliates,last 12 months,40955,tv
NM,TODAY SHOW,NBC Affiliates,last 12 months,40348,tv
IA,HANNITY,FOXNC,last 12 months,40324,tv
CO,CBS EVENING NEWS,CBS  Affiliates,last 12 months,40202,tv
NV,TODAY SHOW,NBC Affiliates,last 12 months,40130,tv
AR,CBS EVENING NEWS,CBS  Affiliates,last 12 months,40039,tv
OK,20/20-FRI,ABC Affiliates,last 12 months,39955,tv
UT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,39294,tv
CT,CBS SATURDAY MORNING,CBS  Affiliates,last 12 months,39141,tv
IA,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,39024,tv
IA,FOX AND FRIENDS,FOXNC,last 12 months,39012,tv
HI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,38901,tv
NE,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,38781,tv
CT,CBS EVENING NEWS,CBS  Affiliates,last 12 months,38456,tv
KS,TODAY SHOW,NBC Affiliates,last 12 months,38449,tv
OR,CNN NEWSROOM,CNN,last 12 months,38439,tv
CT,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,38349,tv
MS,60 MINUTES,CBS  Affiliates,last 12 months,38286,tv
NE,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,37781,tv
VT,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,37267,tv
KS,CBS EVENING NEWS,CBS  Affiliates,last 12 months,37098,tv
UT,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,36813,tv
SD,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,36390,tv
AR,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,35805,tv
AR,20/20-FRI,ABC Affiliates,last 12 months,35612,tv
WV,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,35159,tv
CO,SUNDAY MORNING,CBS  Affiliates,last 12 months,35059,tv
AR,JESSE WATTERS PRIMETIME,FOXNC,last 12 months,34671,tv
AR,SPECIAL RPT W/BRET BAIER,FOXNC,last 12 months,34421,tv
NM,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,34314,tv
NV,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,34167,tv
MS,TODAY THIRD HOUR,NBC Affiliates,last 12 months,33992,tv
KS,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,33902,tv
RI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,33840,tv
MT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,32803,tv
ME,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,32720,tv
NE,"INGRAHAM ANGLE, THE",FOXNC,last 12 months,32711,tv
NE,HANNITY,FOXNC,last 12 months,32617,tv
ME,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,32440,tv
NE,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,32306,tv
VT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,32204,tv
MT,TODAY SHOW,NBC Affiliates,last 12 months,31492,tv
NM,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,31313,tv
NM,CBS EVENING NEWS,CBS  Affiliates,last 12 months,31211,tv
NM,60 MINUTES,CBS  Affiliates,last 12 months,30946,tv
NV,HANNITY,FOXNC,last 12 months,30745,tv
NV,"INGRAHAM ANGLE, THE",FOXNC,last 12 months,30226,tv
KS,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,30149,tv
SD,FS FILES MON 7P,Court TV Mystery,last 12 months,30055,tv
ME,60 MINUTES,CBS  Affiliates,last 12 months,29246,tv
MS,CBS EVENING NEWS,CBS  Affiliates,last 12 months,28704,tv
NV,DEADLINE:WHITE HOUSE,MSNBC,last 12 months,28534,tv
NV,AMERICA REPORTS,FOXNC,last 12 months,28519,tv
NE,GUTFELD!,FOXNC,last 12 months,28144,tv
UT,TODAY SHOW,NBC Affiliates,last 12 months,28088,tv
OR,TODAY SHOW,NBC Affiliates,last 12 months,28003,tv
OR,PBS NEWSHOUR,All PBS Stations,last 12 months,27423,tv
NE,SPECIAL RPT W/BRET BAIER,FOXNC,last 12 months,27402,tv
MS,DATELINE: SECRETS UNCOVRD,OXYG,last 12 months,27118,tv
OR,HANNITY,FOXNC,last 12 months,27029,tv
OR,60 MINUTES,CBS  Affiliates,last 12 months,26917,tv
UT,HANNITY,FOXNC,last 12 months,26865,tv
RI,TODAY THIRD HOUR,NBC Affiliates,last 12 months,26745,tv
OR,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,26425,tv
OR,PBS NEWSHOUR,PBS Primary Network Affiliates,last 12 months,26364,tv
WV,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,26318,tv
NM,CNN NEWSROOM,CNN,last 12 months,25913,tv
NE,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,25855,tv
UT,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,25628,tv
MS,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,25611,tv
KS,DATELINE: SECRETS UNCOVRD,OXYG,last 12 months,25555,tv
NE,JESSE WATTERS PRIMETIME,FOXNC,last 12 months,25456,tv
ID,HANNITY,FOXNC,last 12 months,25420,tv
ND,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,24868,tv
ID,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,24725,tv
NE,AMERICA REPORTS,FOXNC,last 12 months,24668,tv
UT,"INGRAHAM ANGLE, THE",FOXNC,last 12 months,24626,tv
ID,"INGRAHAM ANGLE, THE",FOXNC,last 12 months,24518,tv
KS,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,24385,tv
UT,60 MINUTES,CBS  Affiliates,last 12 months,24279,tv
DE,60 MINUTES,CBS  Affiliates,last 12 months,24187,tv
DE,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,23821,tv
KS,CNN NEWSROOM,CNN,last 12 months,23701,tv
RI,CBS SATURDAY MORNING,CBS  Affiliates,last 12 months,23684,tv
MT,SUNDAY MORNING,CBS  Affiliates,last 12 months,23581,tv
HI,CBS EVENING NEWS,CBS  Affiliates,last 12 months,23135,tv
NM,GMA NSNA,ABC Affiliates,last 12 months,22721,tv
HI,CNN NEWSROOM,CNN,last 12 months,22680,tv
WV,TODAY THIRD HOUR,NBC Affiliates,last 12 months,22297,tv
RI,CBS EVENING NEWS,CBS  Affiliates,last 12 months,22154,tv
ME,NBC NITELY NEWS-SUN,NBC Affiliates,last 12 months,21850,tv
RI,TODAY HODA & JENNA,NBC Affiliates,last 12 months,21815,tv
ME,DATELINE: SECRETS UNCOVRD,OXYG,last 12 months,21787,tv
WV,NBC-NITELY-NEWS,NBC Affiliates,last 12 months,21673,tv
UT,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,21410,tv
RI,60 MINUTES,CBS  Affiliates,last 12 months,21373,tv
UT,DATELINE: SECRETS UNCOVRD,OXYG,last 12 months,21211,tv
ME,CBS EVENING NEWS,CBS  Affiliates,last 12 months,21068,tv
SD,CBS EVENING NEWS,CBS  Affiliates,last 12 months,20864,tv
WV,60 MINUTES,CBS  Affiliates,last 12 months,20602,tv
UT,CBS EVENING NEWS,CBS  Affiliates,last 12 months,20068,tv
ID,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,19964,tv
ME,SATURDAY TODAY,NBC Affiliates,last 12 months,19551,tv
MT,60 MINUTES,CBS  Affiliates,last 12 months,19550,tv
WV,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,19366,tv
DE,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,19138,tv
WV,"INGRAHAM ANGLE, THE",FOXNC,last 12 months,19042,tv
WV,AMERICA REPORTS,FOXNC,last 12 months,18980,tv
VT,60 MINUTES,CBS  Affiliates,last 12 months,18868,tv
HI,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,18551,tv
ID,JESSE WATTERS PRIMETIME,FOXNC,last 12 months,18363,tv
MT,CBS EVENING NEWS,CBS  Affiliates,last 12 months,18306,tv
RI,CNN NEWSROOM,CNN,last 12 months,18270,tv
HI,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,18203,tv
SD,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,18082,tv
VT,TODAY SHOW,NBC Affiliates,last 12 months,17897,tv
DE,CNN NEWSROOM,CNN,last 12 months,17762,tv
ND,TODAY SHOW,NBC Affiliates,last 12 months,17676,tv
NH,GMA NSNA,ABC Affiliates,last 12 months,17602,tv
WY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,17243,tv
ID,FORENSIC FILES,HLN,last 12 months,16983,tv
AK,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,16899,tv
DC,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,16646,tv
VT,NBC NITELY NEWS-SUN,NBC Affiliates,last 12 months,16384,tv
MT,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,16257,tv
NH,60 MINUTES,CBS  Affiliates,last 12 months,16069,tv
SD,60 MINUTES,CBS  Affiliates,last 12 months,16043,tv
SD,CBS SATURDAY MORNING,CBS  Affiliates,last 12 months,15975,tv
HI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,15874,tv
VT,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,15806,tv
DE,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,15615,tv
ID,AMERICA REPORTS,FOXNC,last 12 months,15550,tv
HI,60 MINUTES,CBS  Affiliates,last 12 months,15403,tv
HI,BEAT W/ARI MELBER,MSNBC,last 12 months,15169,tv
ID,"FIVE, THE",FOXNC,last 12 months,15151,tv
ID,SPECIAL RPT W/BRET BAIER,FOXNC,last 12 months,15063,tv
NH,CNN NEWSROOM,CNN,last 12 months,15019,tv
HI,DEADLINE:WHITE HOUSE,MSNBC,last 12 months,14898,tv
VT,CBS EVENING NEWS,CBS  Affiliates,last 12 months,14895,tv
RI,SATURDAY TODAY,NBC Affiliates,last 12 months,14789,tv
MT,CBS SATURDAY MORNING,CBS  Affiliates,last 12 months,14599,tv
DE,TODAY SHOW,NBC Affiliates,last 12 months,14314,tv
SD,HANNITY,FOXNC,last 12 months,14186,tv
SD,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,13987,tv
VT,DEADLINE:WHITE HOUSE,MSNBC,last 12 months,13783,tv
DE,CBS SATURDAY MORNING,CBS  Affiliates,last 12 months,13580,tv
MT,SUNDAY-MRN,CBS  Affiliates,last 12 months,13566,tv
MT,DATELINE: SECRETS UNCOVRD,OXYG,last 12 months,13417,tv
HI,11TH HOUR W/B. WILLIAMS,MSNBC,last 12 months,13402,tv
SD,SUNDAY MORNING,CBS  Affiliates,last 12 months,13279,tv
NH,20/20-FRI,ABC Affiliates,last 12 months,12838,tv
MT,AMERICA REPORTS,FOXNC,last 12 months,12775,tv
VT,REIDOUT,MSNBC,last 12 months,12575,tv
WY,CBS EVENING NEWS,CBS  Affiliates,last 12 months,12404,tv
NH,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,12400,tv
VT,BEAT W/ARI MELBER,MSNBC,last 12 months,12313,tv
NH,WNT-ABC,ABC Affiliates,last 12 months,11654,tv
DC,TODAY SHOW,NBC Affiliates,last 12 months,11295,tv
DC,TODAY HODA & JENNA,NBC Affiliates,last 12 months,11287,tv
DC,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,11038,tv
NH,HANNITY,FOXNC,last 12 months,10963,tv
AK,TODAY SHOW,NBC Affiliates,last 12 months,10931,tv
ND,60 MINUTES,CBS  Affiliates,last 12 months,10919,tv
NH,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,10800,tv
WY,CNN NEWSROOM,CNN,last 12 months,10783,tv
WY,OUTNUMBERED,FOXNC,last 12 months,10633,tv
DE,TODAY HODA & JENNA,NBC Affiliates,last 12 months,9984,tv
DE,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,9705,tv
WY,FOX NEWS LIVE,FOXNC,last 12 months,9438,tv
DC,60 MINUTES,CBS  Affiliates,last 12 months,9412,tv
DE,TODAY THIRD HOUR,NBC Affiliates,last 12 months,9281,tv
DC,TODAY THIRD HOUR,NBC Affiliates,last 12 months,9251,tv
AK,COURT TV LIVE 9A,Court TV,last 12 months,8794,tv
WY,AMERICA REPORTS,FOXNC,last 12 months,8731,tv
DC,CNN NEWSROOM,CNN,last 12 months,8636,tv
WY,"STORY, THE",FOXNC,last 12 months,8282,tv
WY,HOW IT REALLY HAPPENED,HLN,last 12 months,8185,tv
WY,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,7848,tv
WY,VENGEANCE: KILLER LOVERS,HLN,last 12 months,7728,tv
AK,60 MINUTES,CBS  Affiliates,last 12 months,7629,tv
ND,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,6999,tv
ND,NBC NITELY NEWS-SUN,NBC Affiliates,last 12 months,6826,tv
DC,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,6774,tv
AK,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,6678,tv
DC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,6597,tv
ND,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,6277,tv
ND,TODAY HODA & JENNA,NBC Affiliates,last 12 months,6102,tv
ND,NBC-NITELY-NEWS,NBC Affiliates,last 12 months,6049,tv
ND,TONIGHT SHOW,NBC Affiliates,last 12 months,6024,tv
DC,NEW DAY,CNN,last 12 months,5406,tv
ND,CBS SATURDAY MORNING,CBS  Affiliates,last 12 months,5310,tv
AK,11TH HOUR W/B. WILLIAMS,MSNBC,last 12 months,3649,tv
AK,LAST WORD W/ L. ODONNELL,MSNBC,last 12 months,3649,tv
AK,NBC-NITELY-NEWS,NBC Affiliates,last 12 months,3340,tv
AK,ALL IN W/ CHRIS HAYES,MSNBC,last 12 months,3335,tv
AK,NEWSNATION: RUSH HOUR,NewsNation,last 12 months,3263,tv
NY,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,1965128,tv
CA,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,1871591,tv
TX,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,1784869,tv
FL,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,1746010,tv
FL,NBC NIGHTLY NEWS,NBC Affiliates,Last month,1609123,tv
TX,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,1583138,tv
CA,NBC NIGHTLY NEWS,NBC Affiliates,Last month,1538746,tv
NY,NBC NIGHTLY NEWS,NBC Affiliates,Last month,1527433,tv
PA,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,1523123,tv
TX,NBC NIGHTLY NEWS,NBC Affiliates,Last month,1519711,tv
NY,60 MINUTES,CBS  Affiliates,Last month,1396598,tv
NY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,1374062,tv
TX,60 MINUTES,CBS  Affiliates,Last month,1372316,tv
FL,60 MINUTES,CBS  Affiliates,Last month,1291556,tv
PA,NBC NIGHTLY NEWS,NBC Affiliates,Last month,1288075,tv
IL,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,1282401,tv
CA,CNN NEWSROOM,CNN,Last month,1276120,tv
MI,NBC NIGHTLY NEWS,NBC Affiliates,Last month,1255052,tv
TX,TODAY SHOW,NBC Affiliates,Last month,1248212,tv
NY,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,1207305,tv
CA,NOTICIERO UNIVISION,Univision Affiliates,Last month,1189234,tv
FL,TODAY SHOW,NBC Affiliates,Last month,1179317,tv
NC,NBC NIGHTLY NEWS,NBC Affiliates,Last month,1178106,tv
TX,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,1164555,tv
CA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,1122214,tv
NJ,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,1103433,tv
PA,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,1097069,tv
FL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,1081329,tv
OH,NBC NIGHTLY NEWS,NBC Affiliates,Last month,1068815,tv
FL,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,1052875,tv
CA,60 MINUTES,CBS  Affiliates,Last month,1052666,tv
OH,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,1049288,tv
OH,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,1025634,tv
GA,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,1005470,tv
PA,60 MINUTES,CBS  Affiliates,Last month,999267,tv
VA,NBC NIGHTLY NEWS,NBC Affiliates,Last month,982296,tv
NC,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,974948,tv
NY,CNN NEWSROOM,CNN,Last month,963471,tv
NY,CBS EVENING NEWS,CBS  Affiliates,Last month,962404,tv
TX,CBS EVENING NEWS,CBS  Affiliates,Last month,945270,tv
CA,PRIMER IMPACTO,Univision Affiliates,Last month,944076,tv
TN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,939534,tv
TX,NOTICIERO UNIVISION,Univision Affiliates,Last month,935814,tv
VA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,927639,tv
MA,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,926467,tv
NY,TODAY SHOW,NBC Affiliates,Last month,920572,tv
CA,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,914897,tv
IL,NBC NIGHTLY NEWS,NBC Affiliates,Last month,907488,tv
