state,program,network,period,value,medium
KS,CBS EVENING NEWS,CBS  Affiliates,last 3 months,148391,tv
UT,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,147250,tv
SD,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,145561,tv
AR,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,143220,tv
AR,20/20-FRI,ABC Affiliates,last 3 months,142446,tv
WV,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,140634,tv
CO,SUNDAY MORNING,CBS  Affiliates,last 3 months,140236,tv
AR,JESSE WATTERS PRIMETIME,FOXNC,last 3 months,138682,tv
AR,SPECIAL RPT W/BRET BAIER,FOXNC,last 3 months,137685,tv
NM,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,137256,tv
NV,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,136667,tv
MS,TODAY THIRD HOUR,NBC Affiliates,last 3 months,135968,tv
KS,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,135608,tv
RI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,135361,tv
MT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,131211,tv
ME,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,130878,tv
NE,"INGRAHAM ANGLE, THE",FOXNC,last 3 months,130843,tv
NE,HANNITY,FOXNC,last 3 months,130468,tv
ME,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,129761,tv
NE,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,129222,tv
VT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,128815,tv
MT,TODAY SHOW,NBC Affiliates,last 3 months,125969,tv
NM,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,125251,tv
NM,CBS EVENING NEWS,CBS  Affiliates,last 3 months,124845,tv
NM,60 MINUTES,CBS  Affiliates,last 3 months,123784,tv
NV,HANNITY,FOXNC,last 3 months,122981,tv
NV,"INGRAHAM ANGLE, THE",FOXNC,last 3 months,120906,tv
KS,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,120596,tv
SD,FS FILES MON 7P,Court TV Mystery,last 3 months,120219,tv
ME,60 MINUTES,CBS  Affiliates,last 3 months,116986,tv
MS,CBS EVENING NEWS,CBS  Affiliates,last 3 months,114815,tv
NV,DEADLINE:WHITE HOUSE,MSNBC,last 3 months,114138,tv
NV,AMERICA REPORTS,FOXNC,last 3 months,114076,tv
NE,GUTFELD!,FOXNC,last 3 months,112577,tv
UT,TODAY SHOW,NBC Affiliates,last 3 months,112351,tv
OR,TODAY SHOW,NBC Affiliates,last 3 months,112012,tv
